Name,Sex,index,Count
Abdulmalik,M,688518,452
Abdulmannan,M,30129,5
Abdulmohsen,M,122568,21
Abdulnasir,M,31854,5
Abdulqadir,M,205107,45
Abdulraheem,M,421342,120
Abdulrahim,M,423633,99
Abdulrahman,M,740047,2267
Abdulrazaq,M,31170,5
Abdulrehman,M,269851,55
Abdulrhman,M,118827,28
Abdulsalam,M,202183,52
Abdulsamad,M,113681,27
Abdulwadud,M,32057,5
Abdulwahab,M,492911,152
Abdulwahid,M,92107,18
Abdulwali,M,60182,11
Abdur,M,800934,269
Abdurahim,M,30609,5
Abdurahman,M,534019,357
Abdurahmon,M,31171,5
Abdurraheem,M,149630,33
Abdurrahim,M,82348,27
Abdurrahmaan,M,28760,5
Abdurrahman,M,713587,794
Abdurrehman,M,178746,36
Abdussamad,M,29336,6
Abe,M,1323097,9240
Abeal,M,26234,5
Abed,M,578132,193
Abedallah,M,78625,16
Abedalrahman,M,60837,11
Abednego,M,326432,68
Abeeha,F,137663,111
Abeer,F,355161,541
Abeer,M,157275,66
Abeera,F,103428,60
Abegail,F,247627,507
Abegale,F,16107,5
Abegayle,F,60129,23
Abel,F,216775,124
Abel,M,1228647,52810
Abela,F,61498,22
Abelardo,M,1259530,4448
Abelina,F,511131,528
Abelino,M,1478339,846
Abell,F,4594,5
Abell,M,100449,24
Abella,F,90785,800
Abem,M,223440,67
Aben,M,152960,28
Abena,F,326701,587
Abenezer,M,403633,173
Abeni,F,280222,365
Aber,F,10908,5
Aberdeen,F,151270,173
Aberham,M,137440,25
Abernathy,F,70800,33
Abert,M,28806,15
Abery,F,13603,7
Abey,F,45536,17
Abey,M,59203,10
Abgail,F,67902,29
Abha,F,100816,57
Abhay,M,617153,699
Abheek,M,29161,7
Abhi,M,535688,252
Abhigna,F,118056,48
Abhijay,M,404297,100
Abhijeet,M,159091,45
Abhijit,M,202921,42
Abhijot,M,238862,50
Abhik,M,85354,21
Abhilash,M,113902,22
Abhimanyu,M,525812,200
Abhinav,M,576492,1786
Abhinay,M,29344,5
Abhinaya,F,16505,5
Abhir,M,30133,5
Abhiraam,M,29742,6
Abhiraj,M,286091,78
Abhiram,M,490669,934
Abhirami,F,16208,5
Abhirup,M,63215,10
Abhishek,M,688790,758
Abhyuday,M,62189,10
Abi,F,306093,526
Abi,M,125125,22
Abia,F,150586,98
Abiageal,F,170780,145
Abiah,F,86118,54
Abian,M,88146,20
Abianna,F,33059,10
Abibail,F,9822,6
Abid,M,817763,339
